field,value,n
record_type,standalone_outlet,252
record_type,unclear,180
record_type,hosted_program,28
record_type,information_infrastructure,20
record_type,market_appearance,16
record_type,historical_or_inactive,15
record_type,network_affiliate_or_local_station,10
record_type,hosted_language_product,8
record_type,shared_operation_distinct_product,2
ownership_or_governance_form,unclear,447
ownership_or_governance_form,nonprofit,37
ownership_or_governance_form,for_profit_private,26
ownership_or_governance_form,public_media,7
ownership_or_governance_form,community_or_civic_organization_based,6
ownership_or_governance_form,mixed_or_hybrid,3
ownership_or_governance_form,religious_organization_based,3
ownership_or_governance_form,fiscally_sponsored,1
ownership_or_governance_form,university_or_school_based,1
media_format,unclear,212
media_format,print,185
media_format,radio,54
media_format,television,28
media_format,digital,23
media_format,mixed_platform,19
media_format,podcast,6
media_format,newsletter,3
media_format,social_first,1
language_model,single_non_english,227
language_model,unclear,192
language_model,bilingual,75
language_model,multilingual,21
language_model,language_specific_product_within_host,16
community_orientation,diaspora_national_origin,158
community_orientation,language_community,156
community_orientation,unclear,86
community_orientation,ethnic_or_racial_community,58
community_orientation,immigrant_general,36
community_orientation,mixed_orientation,26
community_orientation,multicultural_multiethnic,9
community_orientation,refugee_general,1
community_orientation,regional_or_cross_border_community,1
geographic_scope,neighborhood_or_city,263
geographic_scope,statewide,126
geographic_scope,transnational_or_diaspora,62
geographic_scope,metro,37
geographic_scope,multistate_or_regional,31
geographic_scope,unclear,11
geographic_scope,national_us,1
institutional_relationship,unclear,240
institutional_relationship,standalone,205
institutional_relationship,hosted,37
institutional_relationship,network_affiliate,17
institutional_relationship,same_outlet_multijurisdiction,16
institutional_relationship,subsidiary_or_parent_owned,11
institutional_relationship,successor_or_predecessor,3
institutional_relationship,shared_operation,2
newsroom_independence_form,unclear,246
newsroom_independence_form,independent_newsroom,205
newsroom_independence_form,hosted_program_or_product,37
newsroom_independence_form,information_project_not_newsroom,20
newsroom_independence_form,network_local_newsroom,17
newsroom_independence_form,editorially_distinct_within_parent,6
activity_status,active,357
activity_status,active_with_limited_or_uncertain_cadence,99
activity_status,unclear,47
activity_status,historical_only,15
activity_status,inactive_or_closed,12
activity_status,temporarily_disrupted,1
journalism_intensity,journalism_primary,317
journalism_intensity,journalism_limited_or_unclear,58
journalism_intensity,unclear,52
journalism_intensity,historical_journalism,38
journalism_intensity,journalism_substantial_mixed_content,37
journalism_intensity,not_independent_journalism,29
core_population_role,core_outlet_or_product,301
core_population_role,pending_verification,125
core_population_role,boundary_case,79
core_population_role,market_context_only,14
core_population_role,contextual_infrastructure,10
core_population_role,historical_context_only,2
coding_confidence,requires_manual_review,511
coding_confidence,medium,19
coding_confidence,high,1
