jurisdiction,contextual_noncore,core_verified,hold_for_review,other_review_status,pending_verification,total
Alabama,0,5,0,0,1,6
Alaska,0,3,0,0,0,3
Arizona,1,10,0,2,1,14
Arkansas,0,4,0,0,0,4
California,0,25,0,1,4,30
Colorado,2,7,0,0,1,10
Connecticut,1,5,1,0,0,7
Delaware,0,3,1,2,0,6
District of Columbia,1,5,0,0,0,6
Florida,1,4,0,5,0,10
Georgia,0,8,0,0,0,8
Hawaii,0,3,0,1,1,5
Idaho,1,1,1,0,0,3
Illinois,0,10,4,0,6,20
Indiana,1,5,0,0,0,6
Iowa,2,3,0,0,0,5
Kansas,2,3,0,2,2,9
Kentucky,0,2,1,2,0,5
Louisiana,1,5,0,1,1,8
Maine,0,6,0,1,0,7
Maryland,2,2,1,2,0,7
Massachusetts,0,7,0,1,0,8
Michigan,2,7,0,4,1,14
Minnesota Verification Batch1,0,9,0,0,0,9
Mississippi,2,1,1,0,1,5
Missouri,1,4,0,1,1,7
Montana,0,0,1,0,2,3
Nebraska,0,5,0,2,1,8
Nevada,1,10,0,1,0,12
New Hampshire,0,3,1,0,1,5
New Jersey,1,9,0,0,0,10
New Mexico,2,3,1,2,2,10
New York,5,19,2,7,12,45
North Carolina,0,8,1,2,1,12
North Dakota,0,0,2,2,0,4
Ohio,1,5,3,1,4,14
Oklahoma,1,2,0,0,3,6
Oregon,0,10,0,2,3,15
Pennsylvania,3,13,1,2,11,30
Rhode Island,0,2,0,3,1,6
South Carolina,3,13,1,2,5,24
South Dakota,0,3,1,0,0,4
Tennessee,0,3,0,2,2,7
Texas,2,17,4,1,6,30
Utah,0,5,2,0,1,8
Vermont,2,1,1,0,1,5
Virginia,0,2,0,7,0,9
Washington,0,12,1,0,7,20
West Virginia,1,0,2,1,0,4
Wisconsin,0,7,4,0,3,14
Wyoming,1,2,1,0,0,4
